Route Distance (km),Route Duration (min),Transportation Mode,Make,Model,Fuel Type,Engine Specs,Fuel Efficiency (km/L),Vehicle CO2 Emissions (g/km),Traffic Information,Elevation Data (m),Road Types,Estimated CO2 Emissions (g/km) for trip
38,57,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16.8,136,Heavy traffic,110,Hill road,106.95
54,81,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,18.2,126,Light traffic,70,Local road,95.58
26,39,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17.3,132,Normal traffic,90,Hill road,100
62,93,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,15.9,140,Moderate traffic,120,Highway,110.69
43,64,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,18,128,Heavy traffic,100,Hill road,88.89
30,45,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17,134,Moderate traffic,80,Local road,94.12
57,85,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,15.5,148,Light traffic,120,Hill road,111.94
22,33,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,19.5,123,Normal traffic,60,Highway,80
49,73,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16.7,137,Moderate traffic,110,Local road,104.49
35,52,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,18.5,124,Heavy traffic,130,Hill road,97.3
20,30,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16,143,Light traffic,80,Hill road,89.38
46,69,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,18.2,126,Normal traffic,100,Highway,86.81
31,46,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17.8,130,Moderate traffic,70,Local road,82.53
59,89,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16.3,136,Heavy traffic,140,Hill road,108.28
40,60,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17,134,Light traffic,90,Hill road,95.29
25,37,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16.5,139,Normal traffic,50,Highway,84.24
52,78,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17.1,133,Moderate traffic,120,Local road,99.18
28,42,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17.9,129,Heavy traffic,110,Hill road,97.22
42,63,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16.8,136,Light traffic,80,Highway,94.64
34,51,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,18.3,126,Normal traffic,100,Hill road,98.9
38,57,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,22,123,Heavy traffic,110,Hill road,88.33
54,81,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,20.5,132,Light traffic,70,Local road,100.91
26,39,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,24,113,Normal traffic,90,Hill road,79.65
62,93,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,21.5,127,Moderate traffic,120,Highway,92.91
43,64,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,23,117,Heavy traffic,100,Hill road,81.18
30,45,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,22,123,Moderate traffic,80,Local road,89.33
57,85,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,20,135,Light traffic,120,Hill road,108
22,33,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,25,108,Normal traffic,60,Highway,77.13
49,73,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,21,130,Moderate traffic,110,Local road,96.15
35,52,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,22.5,120,Heavy traffic,130,Hill road,86.67
20,30,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,24,113,Light traffic,80,Hill road,79.65
46,69,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,20.8,131,Normal traffic,100,Highway,90
31,46,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,23.5,115,Moderate traffic,70,Local road,84.68
59,89,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,20.2,134,Heavy traffic,140,Hill road,107.4
40,60,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,22,123,Light traffic,90,Hill road,89.33
25,37,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,24.5,110,Normal traffic,50,Highway,78.46
52,78,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,21.3,129,Moderate traffic,120,Local road,94.12
28,42,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,23.3,116,Heavy traffic,110,Hill road,85.34
42,63,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,21.7,128,Light traffic,80,Highway,88.42
34,51,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,23,117,Normal traffic,100,Hill road,81.18
42,63,Car,Maruti Suzuki,Ignis,Petrol,1.2,18.5,122,Heavy traffic,100,Hill road,83.24
30,45,Car,Maruti Suzuki,Ignis,Diesel,1.3-,23,117,Moderate traffic,80,Local road,81.18
55,83,Car,Maruti Suzuki,Ignis,Petrol,1,20,135,Light traffic,120,Hill road,108
26,39,Car,Maruti Suzuki,Ignis,Diesel,1.5,22,123,Normal traffic,90,Highway,88.33
48,72,Car,Maruti Suzuki,Ignis,Petrol,1.2,19,128,Moderate traffic,110,Local road,93.75
34,51,Car,Maruti Suzuki,Ignis,Diesel,1.3,24.5,110,Light traffic,80,Hill road,78.46
60,90,Car,Maruti Suzuki,Ignis,Petrol,1,21.5,127,Normal traffic,140,Hill road,89.77
22,33,Car,Maruti Suzuki,Ignis,Diesel,1.5,21,130,Heavy traffic,60,Highway,86.81
45,68,Car,Maruti Suzuki,Ignis,Petrol,1.2,18,133,Moderate traffic,100,Local road,88.89
38,57,Car,Maruti Suzuki,Ignis,Diesel,1.3,22,123,Light traffic,110,Hill road,83.24
28,42,Car,Maruti Suzuki,Ignis,Petrol,1,20.5,132,Normal traffic,70,Local road,100.91
50,75,Car,Maruti Suzuki,Ignis,Diesel,1.5,23.5,115,Heavy traffic,130,Hill road,84.68
32,48,Car,Maruti Suzuki,Ignis,Petrol,1.2,19.5,126,Moderate traffic,90,Highway,77.13
52,78,Car,Maruti Suzuki,Ignis,Diesel,1.3,24,113,Light traffic,120,Hill road,79.65
36,54,Car,Maruti Suzuki,Ignis,Petrol,1,21,130,Normal traffic,80,Local road,96.15
46,69,Car,Maruti Suzuki,Ignis,Diesel,1.5,22.5,120,Heavy traffic,100,Hill road,86.67
25,37,Car,Maruti Suzuki,Ignis,Petrol,1.2,18.5,122,Moderate traffic,50,Hill road,83.24
58,87,Car,Maruti Suzuki,Ignis,Diesel,1.3,23,117,Light traffic,140,Highway,88.33
40,60,Car,Maruti Suzuki,Ignis,Petrol,1,22,123,Normal traffic,90,Hill road,88.33
33,50,Car,Maruti Suzuki,Ignis,Diesel,1.5,20,135,Moderate traffic,70,Local road,108
45,60,Car,Maruti Suzuki,Ciaz,Petrol,1.5,20,135,Heavy traffic,100,Hill road,108
30,45,Car,Maruti Suzuki,Ciaz,Diesel,1.5,25,108,Moderate traffic,80,Local road,77.13
50,75,Car,Maruti Suzuki,Ciaz,Petrol,1.4,19,128,Light traffic,120,Hill road,93.75
35,52,Car,Maruti Suzuki,Ciaz,Diesel,1.6,22,123,Normal traffic,90,Highway,88.33
55,83,Car,Maruti Suzuki,Ciaz,Petrol,1.5,18,133,Moderate traffic,110,Local road,88.89
25,37,Car,Maruti Suzuki,Ciaz,Diesel,1.5,23.5,115,Heavy traffic,60,Hill road,84.68
60,90,Car,Maruti Suzuki,Ciaz,Petrol,1.4,21.5,127,Light traffic,140,Hill road,89.77
20,30,Car,Maruti Suzuki,Ciaz,Diesel,1.6,21,130,Normal traffic,70,Local road,96.15
42,63,Car,Maruti Suzuki,Ciaz,Petrol,1.5,17.5,138,Moderate traffic,110,Hill road,99.43
28,42,Car,Maruti Suzuki,Ciaz,Diesel,1.5,24,113,Light traffic,80,Hill road,79.65
52,78,Car,Maruti Suzuki,Ciaz,Petrol,1.4,20,135,Normal traffic,120,Highway,108
33,50,Car,Maruti Suzuki,Ciaz,Diesel,1.6,20.5,132,Heavy traffic,70,Local road,100.91
48,72,Car,Maruti Suzuki,Ciaz,Petrol,1.5,18.5,122,Moderate traffic,100,Hill road,83.24
38,57,Car,Maruti Suzuki,Ciaz,Diesel,1.5,22.5,120,Light traffic,90,Local road,86.67
58,87,Car,Maruti Suzuki,Ciaz,Petrol,1.4,19.8,129,Normal traffic,130,Hill road,92.12
36,54,Car,Maruti Suzuki,Ciaz,Diesel,1.6,21,130,Heavy traffic,80,Highway,96.15
43,64,Car,Maruti Suzuki,Ciaz,Petrol,1.5,18,133,Moderate traffic,120,Hill road,88.89
22,33,Car,Maruti Suzuki,Ciaz,Diesel,1.5,23,117,Light traffic,50,Local road,88.33
47,70,Car,Maruti Suzuki,Ciaz,Petrol,1.4,20.2,134,Normal traffic,110,Hill road,107.4
31,46,Car,Maruti Suzuki,Ciaz,Diesel,1.6,20,135,Heavy traffic,70,Local road,108
40,60,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5L,17.5,138,Heavy traffic,100,Hill road,99.43
